Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,37.5,2.69137,Denial of Service,System,03:35:41.394
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,28.6,2.66296,Denial of Service,System,03:35:42.616
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,37.5,2.68607,Denial of Service,System,03:35:43.837
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,36.4,2.69742,Denial of Service,System,03:35:45.059
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,40.0,2.69992,Denial of Service,System,03:35:46.251
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,25.0,2.70488,Denial of Service,System,03:35:47.444
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.7,0.0,2.67972,Denial of Service,System,03:35:48.635
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,33.3,2.68982,Denial of Service,System,03:35:49.825
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.7,16.7,2.65431,Denial of Service,System,03:35:51.041
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,33.3,2.69752,Denial of Service,System,03:35:52.261
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,37.5,2.67952,Denial of Service,System,03:35:53.483
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,37.5,2.65496,Denial of Service,System,03:35:54.705
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,37.5,2.65531,Denial of Service,System,03:35:55.938
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,40.0,2.65106,Denial of Service,System,03:35:57.172
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,33.4,2.67371,Denial of Service,System,03:35:58.396
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,28.6,2.68032,Denial of Service,System,03:35:59.621
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,33.4,2.70948,Denial of Service,System,03:36:00.841
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,33.4,2.65626,Denial of Service,System,03:36:02.060
