Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.0749999999999997,Denial of Service,ACS712,0.415,415
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,2.275,Denial of Service,ACS712,0.455,455
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.345,Denial of Service,ACS712,1.069,1069
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,2.9349999999999996,Denial of Service,ACS712,0.587,587
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.715,Denial of Service,ACS712,0.943,943
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.75,Denial of Service,ACS712,0.95,950
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.365,Denial of Service,ACS712,0.673,673
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.41,Denial of Service,ACS712,1.082,1082
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.785,Denial of Service,ACS712,0.957,957
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.869999999999999,Denial of Service,ACS712,1.174,1174
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.3000000000000003,Denial of Service,ACS712,0.66,660
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,6.035,Denial of Service,ACS712,1.207,1207
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.345,Denial of Service,ACS712,1.069,1069
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,6.2,Denial of Service,ACS712,1.24,1240
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.015,Denial of Service,ACS712,1.003,1003
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.42,Denial of Service,ACS712,0.884,884
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.75,Denial of Service,ACS712,0.95,950
